year, best_estimate, highest_reliable_estimate, lowest_reliable_estimate
1993, 1, 1, 1
1993, 10, 30, 5
1993, 1, 1, 1
1993, 2, 2, 2
1993, 3, 3, 3
1993, 2, 2, 2
1993, 40, 40, 40
1993, 40, 40, 0
1993, 18, 48, 18
1993, 1, 1, 1
1993, 2, 2, 2
1993, 71, 91, 71
1993, 1, 1, 1
1993, 1, 1, 1
1993, 60, 60, 60
1993, 5, 5, 5
1993, 3, 3, 3
1993, 56, 56, 35
1993, 20, 20, 0
1993, 60, 114, 60
1993, 23, 23, 23
1993, 1, 1, 1
1991, 4, 4, 4
1993, 24, 24, 24
1993, 25, 25, 25
1993, 1, 1, 0
1993, 8, 8, 8
1993, 1, 1, 1
1993, 2, 2, 2
1993, 5, 5, 5
1993, 1, 1, 1
1993, 4, 4, 4
1993, 90, 90, 90
1993, 4, 4, 4
1993, 18, 18, 18
1993, 1, 1, 1
1993, 30, 30, 30
1993, 2, 2, 2
1993, 1, 1, 1
1993, 1, 1, 1
1993, 3, 3, 3
1993, 0, 3, 0
1993, 3, 3, 3
1993, 8, 8, 8
1993, 1, 1, 1
1993, 1, 1, 1
1993, 10, 10, 10
1993, 27, 27, 27
1993, 1, 1, 1
1993, 11, 11, 11
1993, 2, 2, 2
1993, 2, 2, 2
1993, 7, 7, 7
1993, 19, 19, 19
1993, 6, 6, 6
1993, 43, 43, 43
1993, 94, 94, 94
1993, 2, 2, 2
1993, 14, 14, 14
1993, 36, 236, 36
1993, 1, 1, 1
1993, 1, 1, 1
1993, 2, 2, 2
1993, 1, 1, 1
1993, 200, 200, 200
1993, 2, 2, 2
1993, 201, 201, 201
1993, 42, 42, 42
1993, 2, 2, 2
1993, 2, 2, 2
1993, 250, 250, 250
1993, 6, 6, 6
1993, 2, 2, 2
1993, 14, 14, 14
1993, 3, 3, 3
1993, 1, 1, 1
1993, 3, 3, 3
1993, 3, 3, 3
1993, 1, 1, 1
1993, 2, 2, 2
1993, 2, 2, 2
1993, 3, 3, 3
1993, 1, 1, 1
1993, 3, 3, 3
1993, 3, 3, 3
1993, 1, 1, 1
1993, 33, 33, 33
1993, 6, 6, 6
1993, 10, 10, 10
1993, 2, 2, 2
